GRID_ID,P_Val,P_M,P_W,P_20_VAL,P_20_M,P_20_W,P_30_VAL,P_30_M,P_30_W,P_40_VAL,P_40_M,P_40_W,P_50_VAL,P_50_M,P_50_W,P_60_VAL,P_60_M,P_60_W,D_CSV,D_COFFEE,D_KFOOD,D_PHARM,D_SALON,SIDO_CD,SIDO_NM
다사406484,444,242,202,34,19,15,47,25,22,55,34,21,90,50,40,105,62,43,0,0,0,0,0,11,서울특별시
다사406485,362,198,164,28,17,11,30,16,14,41,20,21,66,39,27,97,61,36,1,1,0,0,5,11,서울특별시
다사406486,78,45,33,11,8,0,6,0,0,12,9,0,16,8,8,10,6,0,0,3,4,0,1,11,서울특별시
다사406487,22,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,11,서울특별시
다사406488,113,52,61,0,0,0,30,19,11,18,10,8,17,7,10,17,0,13,1,2,0,0,0,11,서울특별시
다사406489,300,144,156,34,17,17,47,21,26,44,21,23,54,25,29,46,22,24,0,0,1,0,1,11,서울특별시
다사406490,364,186,178,44,25,19,41,24,17,43,21,22,70,35,35,72,33,39,0,1,0,0,1,11,서울특별시
다사406491,22,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,서울특별시
다사406492,286,141,145,27,14,13,38,19,19,52,25,27,38,22,16,41,15,26,0,0,0,0,0,11,서울특별시
다사406493,503,256,247,79,49,30,62,31,31,71,34,37,103,48,55,81,43,38,0,0,0,0,1,11,서울특별시
다사406494,619,302,317,66,29,37,82,42,40,111,60,51,97,42,55,98,46,52,0,0,0,0,0,11,서울특별시
다사406495,599,291,308,57,29,28,69,35,34,121,59,62,99,50,49,71,32,39,1,0,0,0,0,11,서울특별시
다사406496,499,253,246,53,33,20,61,27,34,101,50,51,76,36,40,53,27,26,0,0,0,0,0,11,서울특별시
다사406497,136,68,68,12,7,0,13,7,6,27,12,15,28,14,14,12,0,7,0,0,0,0,0,11,서울특별시
다사406498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사406499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
